level,title,sha256,md5,max_score,rateave,hardrec,difficulty
★12,迦具土 -REVENGER EX-,48e8883ee6539f9abb8e214f8726a62ce915c5f247f8527aeea9049c9005ea28,71bb57cacd7900f7f990a63af3212d9e,4260,95.5047,14.81,15
★12,黒猫円舞曲[7key_EXTREME],09b0cc79d27be5bb966d0ff9c722a8377c9f5866f03c199bf6fe06aee46a01ed,fa9d4943655fd0b984d7adf7002d063f,4072,95.2603,18.9,16
★12,／^o^＼ -サファリパーク-,2d4199527a5aa658a846abbc25765f64ed98e5a2e9b0428f201511ecc896ae58,5b449f55589dfb927ca0cd614b175045,2858,95.9849,16.02,14
★13,A BEAUTIFUL SKY -OB style- GOD,3ef25338a5fd2aa799ca7685bb2ba8a663adf59951488d67f854dde6e6d8cc6d,8366a532b3fe07fe0659f73078c80b81,6130,94.425,18.21,17
★13,Angel Wing [FELITHER],3c1513d64f7094a613a1e4fdfb8635b3107066eba62412779cf773d46df3fe52,7914f4ececa1ca873ad20a2f26ae258d,4000,98.475,17.49,10
★13,AVALON [IIDX],9a074277fadd14263b02e2bf04348c34d8e48ec2e848be0f7d5b84781a530afc,671f262906a25b4354d403bd96560900,4016,96.4766,19.43,14
★13,Baby Baby Frenzy [TRICK or TREAT],2f8389334212a1d3d3a71da9cb6d86e1909f6a20d97a4c9b51a6b3cb51138088,2796bb7767603a6846897e29f163e14d,4600,96.3587,17.46,13
★13,beyond the limit -EROTIC7-,1acba38b0a9fe88a3a8ddb42294686f894a0384414f209adcabd6112b61febd4,afc7ec7e2518f906dc5ae53808312a37,5740,96.7901,17.12,12
★13,BLACKOUT -Side Story- [ANOTHER+],0eddead806b32a844e56e51471932c45ea6f0a8cdce5ffd1f63cfd1014312fb5,7ba29309c4f790cfc65a12ed1eff3458,4696,97.3807,17.95,11
★13,BLAZE YOUR SOUL [SP INSANE],87ef9ec7af1e2b8497b09fb3ac3de8294ce9208d7674273e9f0387a98236dc06,f9ae2efa42f0cda953814eb70ab80894,3910,97.3658,16.04,9
★13,Blooming [Feeling] [7key Feeling],3dacaa158e08e914e78fa83f71b4d8b7274d33792500e8471d01e396b3418ab9,62f6543036ffb0390c0abeb2af6ecb25,4600,98.3587,15.71,8
★13,CLOCKTOWER(Big Ben),343616caa5ca112017f1aaaa94991fd95dd1eaf459647d8c87772b64f1e6a1a2,315937f4d737a86d4f9d9be2f696fdee,4548,97.1856,16.47,10
★13,corneal,6f8db0d565a9fae3a380f7ac6cf7485b067bc50fdc3bfb28d54a49e2307a65cf,bf7e6824976fd0c9c24a2d85228f5d28,5318,94.5562,17.6,17
★13,Demystify Feast[NORMAL],0b35f8f69a6ac380ab42ec24465b0bc6ca6dcae21933f06e252e7192f1a66922,0f6009dd00dd7474f72f311ef4319391,5228,94.7255,18.17,17
★13,ELECTRiCiTY [7_voltage],da6d3a4d94e2e5b8ff02bd53e97961daf284f3abcbe50d1b7dfe041ecc4e8412,acc60924b0410990fc7d47cea561a441,4248,96.8927,17.72,12
★13,Endkraft [On the verge of death],0dbd8cf22e5881f953bf2d5f6ae2e2e5f4c9541dab21d448dd9cbf0a7e2ebea4,6aa70db2ae25d5b38c0509378504ecca,4444,94.982,17.9,16
★13,ERIS [yumether],eab615e969347ddd2577557ae156522831ad222e563ccd78d2bb766d75954ae2,cfbf1406aed383c0bfbe09b325c5cb46,3238,96.958,17.34,11
★13,Extinction and reproduction[SP kusofumen],17b1f7a33c749e5fad88249501d064b79b76d8ddb10d71f8d8568125b5d06449,7fa0e91cfdbc515552b5e30423a0b913,4906,96.3871,18.62,14
★13,FREEDOM DiVE [EARTH],22da12e242e7da4c2c960aa622f32bd8090674a7dd3782c37f17d0fdb0760f87,c4a29dba4051d0989ca118a5fd44378b,4758,95.9647,17.4,14
★13,Healing smile [HappyHardcore Style edit] (EX7),cacdb9598a4847baa29294a68a6e1efa4433eba22686754b964be6519798d2bf,0aab9cad6f7c0a2eb94d48c0c42f54be,3110,94.2845,18.42,18
★13,horizon ＾＾ω＾＾,6f057b327a7c2df89fe195c732b39dc5336e003c52050351de8cb2df6e943335,85ed349b8f6807b273eee0aae886d633,4830,97.0911,18.73,13
★13,Incoherent -reminiscent of squad-,097f993d464df74fa60aef4609e7fe48ef565d73c03ec630f258ca8c0a558f91,1fee0ff584eece616c41b6cf8282e496,2674,94.5587,17.01,17
★13,Leonids,20166cc60925c97ad007d506cfb7c32e1c1578fe0ae8ef235fcda3507d623fdd,c61ee74a26ce014a6f5426be8aa26ba7,4108,93.6709,21.12,19
★13,Love & Justice [MANIAQ],2c998dd573d5c4c5a35b9c3691a8ca3768a710b76c873a9b386b6216e8a58efb,d2f8edb05e9e8dd19b4106ed68c0a668,4502,96.4516,18.05,13
★13,Mercury Prayer [Bless],f0982ba88d474555992814056c88d125968accf000c6807f6ddfda78762bb42c,2de63fd44b0d534cba821b082ff8f732,4096,97.7844,16.82,10
★13,myste`re[悪魔城],fbc35419a028d8ac1b04209852f67728b0cce734f483f18f201a2d7ac447659b,e7f91c96c097bab40d6f161800d7df46,4502,96.9458,16.35,11
★13,OAA-γ [HELL],6240cebae99d482763cf44989d0585e3d4d4dd47da87ec044a89b79485a61090,90ca23d2f6292dd0d4e4c88e20b46946,5824,97.3773,17.18,10
★13,Party 4U (EXTREME),e5fad822e1be232af34f4fbe06825af69876819b064fa65085bb58d741df45a9,365ed4ea99075381e02d17a30ce515a0,4120,96.6262,16.94,12
★13,Plastic Mind [ALITHER],767adc14adef5456d7f4fe314f350b318d1964ea9c371ece2df328e35fc26e3c,f6a7b2c557bfa467da2d8788cb29f7a0,5240,95.5773,18.07,15
★13,Re*incarnacion [NEXT],50fdceef9a25f657e468fed9638fafecfceaddf0603869ebe6baee802b8ed638,017903115130e5317148d594293c921e,4514,97.6517,17.42,11
★13,Schur's Theorem [Linear Algebra],7411869db7ff40f03a4a7dcd3d75fdc9f047a304db64a145681076e27711f644,aa3e6855b1746d6b5c7fe206801b6236,4000,95.3563,16.94,15
